Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins
Airline B,2019-06-06,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,5224,6,6,11,30,14,5,2,35
Airline F,2019-04-27,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,5613,27,4,9,45,12,35,2,50
Airline E,2019-06-24,Kolkata,Banglore,CCU → BLR,2h 25m,0,No info,3873,24,6,9,0,11,25,2,25
Airline C,2019-05-24,Kolkata,Banglore,CCU → GAU → DEL → BLR,26h 40m,2,No info,15170,24,5,9,50,12,30,26,40
Airline B,2019-03-06,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,6,3,22,15,0,50,2,35
Airline A,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,18h 45m,2,No info,15129,18,5,9,40,4,25,18,45
Airline D,2019-09-03,Delhi,Cochin,DEL → BOM → COK,12h 35m,1,No info,13082,3,9,6,40,19,15,12,35
Airline B,2019-06-27,Banglore,Delhi,BLR → DEL,3h,0,No info,3943,27,6,21,15,0,15,3,0
Airline B,2019-01-06,Delhi,Cochin,DEL → PNQ → COK,5h 5m,1,No info,10112,6,1,23,30,4,35,5,5
Airline D,2019-05-18,Delhi,Cochin,DEL → BOM → COK,13h,1,No info,9794,18,5,6,0,19,0,13,0
Airline A,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,21h 40m,2,No info,13376,15,6,6,45,4,25,21,40
Airline C,2019-03-06,Delhi,Cochin,DEL → GOI → BOM → COK,21h 15m,2,No info,10231,6,3,22,0,19,15,21,15
Airline A,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,21h 55m,1,In-flight meal not included,9663,18,5,14,5,12,0,21,55
Airline C,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10h 15m,1,No info,9929,27,5,9,0,19,15,10,15
Airline A,2019-06-05,Delhi,Cochin,DEL → BOM → COK,13h 45m,1,No info,15554,5,6,22,50,12,35,13,45
Airline C,2019-05-27,Delhi,Cochin,DEL → COK,3h 5m,0,No info,6094,27,5,18,5,21,10,3,5
Airline C,2019-05-27,Delhi,Cochin,DEL → BLR → COK,9h 30m,1,No info,8907,27,5,13,30,23,0,9,30
Airline D,2019-05-21,Delhi,Cochin,DEL → BOM → COK,8h,1,No info,7888,21,5,13,0,21,0,8,0
Airline D,2019-12-06,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,9h 25m,3,No info,15629,6,12,11,35,21,0,9,25
Airline D,2019-09-04,Delhi,Cochin,DEL → BOM → COK,8h 40m,1,No info,6106,4,9,10,35,19,15,8,40
Airline C,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,13h 15m,1,No info,7893,4,1,10,0,23,15,13,15
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,11h 25m,1,In-flight meal not included,10844,5,6,8,25,19,50,11,25
Airline C,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,10h 25m,1,No info,10413,24,5,10,0,20,25,10,25
Airline B,2019-04-18,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,5780,18,4,18,55,21,50,2,55
Airline C,2019-03-03,Delhi,Cochin,DEL → BOM → COK,11h 15m,1,No info,15197,3,3,8,0,19,15,11,15
Airline B,2019-06-24,Banglore,Delhi,BLR → DEL,3h,0,No info,4823,24,6,16,55,19,55,3,0
Airline B,2019-06-15,Delhi,Cochin,DEL → BLR → COK,4h 55m,1,No info,7010,15,6,5,10,10,5,4,55
Airline H,2019-03-03,Delhi,Cochin,DEL → HYD → COK,7h 35m,1,No info,5628,3,3,5,45,13,20,7,35
Airline A,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2,No info,15129,18,5,5,30,4,25,22,55
Airline A,2019-09-03,Delhi,Cochin,DEL → BOM → COK,11h,1,No info,15554,3,9,17,25,4,25,11,0
Airline A,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,7h 55m,1,In-flight meal not included,10844,5,1,8,25,16,20,7,55
Airline B,2019-03-24,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,4326,24,3,7,55,10,15,2,20
Airline E,2019-04-24,Kolkata,Banglore,CCU → BLR,2h 30m,0,No check-in baggage included,3841,24,4,17,10,19,40,2,30
Airline C,2019-12-05,Kolkata,Banglore,CCU → GAU → BLR,28h 20m,1,No info,7662,5,12,16,45,21,5,28,20
Airline B,2019-06-24,Delhi,Cochin,DEL → BOM → COK,16h 15m,1,No info,6628,24,6,9,15,1,30,16,15
Airline B,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,5h 25m,1,No info,6218,5,12,18,5,23,30,5,25
Airline A,2019-06-06,Delhi,Cochin,DEL → BOM → COK,10h 20m,1,No info,14714,6,6,2,15,12,35,10,20
Airline C,2019-12-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,16h 10m,2,No info,14960,6,12,16,45,8,55,16,10
Airline A,2019-06-06,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,6478,6,6,7,10,10,10,3,0
Airline A,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,7h 15m,1,In-flight meal not included,9134,15,3,8,0,15,15,7,15
Airline C,2019-01-06,Delhi,Cochin,DEL → BLR → COK,13h 15m,1,No info,8907,6,1,9,45,23,0,13,15
Airline A,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,21h 40m,2,No info,13376,15,6,6,45,4,25,21,40
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,6h 30m,1,No info,7408,15,6,19,0,1,30,6,30
Airline C,2019-01-04,Mumbai,Hyderabad,BOM → HYD,1h 20m,0,No info,3100,4,1,6,20,7,40,1,20
Airline E,2019-09-06,Kolkata,Banglore,CCU → BLR,2h 30m,0,No check-in baggage included,3841,6,9,17,10,19,40,2,30
Airline A,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,18h 45m,2,No info,15129,27,5,9,40,4,25,18,45
Airline A,2019-12-05,Mumbai,Hyderabad,BOM → HYD,1h 25m,0,No info,5678,5,12,2,55,4,20,1,25
Airline B,2019-12-06,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,3943,6,12,6,5,8,50,2,45
Airline B,2019-06-03,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,7295,3,6,19,35,21,55,2,20
Airline B,2019-12-06,Delhi,Cochin,DEL → BOM → COK,5h,1,No info,6069,6,12,16,0,21,0,5,0
Airline A,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,17h 5m,2,No info,13014,6,12,19,30,12,35,17,5
Airline B,2019-04-15,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4423,15,4,4,0,6,50,2,50
Airline H,2019-09-04,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,4239,4,9,20,55,23,40,2,45
Airline A,2019-06-15,Banglore,Delhi,BLR → DEL,3h,0,No info,8016,15,6,17,45,20,45,3,0
Airline C,2019-03-24,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,31945,24,3,20,45,23,20,2,35
Airline D,2019-03-06,Delhi,Cochin,DEL → BOM → COK,11h 45m,1,No info,7354,6,3,7,30,19,15,11,45
Airline D,2019-12-06,Delhi,Cochin,DEL → BOM → COK,7h 30m,1,No info,7198,6,12,18,0,1,30,7,30
Airline B,2019-03-03,Delhi,Cochin,DEL → MAA → COK,5h 10m,1,No info,12214,3,3,7,20,12,30,5,10
Airline G,2019-06-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,8h 20m,2,No info,6810,6,6,15,10,23,30,8,20
Airline A,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,28h 50m,1,In-flight meal not included,9314,5,1,9,35,14,25,28,50
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,15h 10m,1,No info,6795,15,6,10,20,1,30,15,10
Airline A,2019-05-15,Delhi,Cochin,DEL → BOM → COK,10h 20m,1,In-flight meal not included,12373,15,5,2,15,12,35,10,20
Airline B,2019-12-06,Delhi,Cochin,DEL → BLR → COK,5h 20m,1,No info,6147,6,12,17,5,22,25,5,20
Airline E,2019-06-18,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,3597,18,6,17,45,20,5,2,20
Airline C,2019-09-06,Kolkata,Banglore,CCU → BOM → GOI → BLR,20h 10m,2,No info,11642,6,9,9,25,5,35,20,10
Airline C,2019-05-21,Delhi,Cochin,DEL → HYD → BOM → COK,26h,2,No info,11989,21,5,17,15,19,15,26,0
Airline B,2019-09-05,Delhi,Cochin,DEL → BLR → COK,4h 55m,1,No info,6496,5,9,5,10,10,5,4,55
Airline A,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,15h,2,No info,16704,18,5,13,25,4,25,15,0
Airline A,2019-09-03,Delhi,Cochin,DEL → BOM → COK,12h 55m,1,In-flight meal not included,14053,3,9,6,50,19,45,12,55
Airline A,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,24h 55m,1,In-flight meal not included,10844,15,5,18,55,19,50,24,55
Airline A,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,5h 40m,1,In-flight meal not included,11087,3,9,5,45,11,25,5,40
Airline F,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,15h 30m,1,No info,9397,24,5,7,10,22,40,15,30
Airline A,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,6h 15m,1,No info,13941,18,5,5,45,12,0,6,15
Airline A,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,12h 10m,1,No info,12681,4,1,16,30,4,40,12,10
Airline D,2019-12-06,Delhi,Cochin,DEL → BOM → COK,8h,1,No info,7408,6,12,13,0,21,0,8,0
Airline A,2019-06-27,Delhi,Cochin,DEL → NAG → BOM → COK,22h,2,No info,13376,27,6,14,35,12,35,22,0
Airline B,2019-05-24,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,24,5,20,20,22,55,2,35
Airline A,2019-06-15,Delhi,Cochin,DEL → BOM → COK,23h 35m,1,In-flight meal not included,10262,15,6,13,0,12,35,23,35
Airline A,2019-09-05,Banglore,Delhi,BLR → DEL,2h 55m,0,No info,7229,5,9,11,10,14,5,2,55
Airline A,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1,No info,13044,6,12,20,0,8,15,12,15
Airline D,2019-05-21,Delhi,Cochin,DEL → BOM → COK,6h 15m,1,No info,14848,21,5,13,0,19,15,6,15
Airline B,2019-05-15,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,15,5,20,20,22,55,2,35
Airline A,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,20h 10m,1,No info,16736,3,6,8,55,5,5,20,10
Airline A,2019-06-05,Kolkata,Banglore,CCU → GAU → BLR,7h 15m,1,In-flight meal not included,7064,5,6,10,20,17,35,7,15
Airline A,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,13h 20m,1,No info,13941,5,12,6,30,19,50,13,20
Airline B,2019-05-18,Delhi,Cochin,DEL → BOM → COK,10h 30m,1,No info,7503,18,5,15,0,1,30,10,30
Airline F,2019-01-06,Chennai,Kolkata,MAA → CCU,2h 15m,0,No info,3687,6,1,7,5,9,20,2,15
Airline C,2019-05-21,Delhi,Cochin,DEL → HYD → BOM → COK,14h 25m,2,No info,13039,21,5,17,15,7,40,14,25
Airline A,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,17h 5m,1,In-flight meal not included,8529,6,12,18,55,12,0,17,5
Airline G,2019-06-21,Kolkata,Banglore,CCU → BLR,2h 30m,0,No info,3807,21,6,22,50,1,20,2,30
Airline G,2019-09-04,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,4483,4,9,23,55,2,45,2,50
Airline D,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11h,1,No info,12192,27,6,8,0,19,0,11,0
Airline A,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,28h 5m,1,No info,14151,15,5,17,0,21,5,28,5
Airline A,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,5h 30m,1,No info,14388,15,5,6,30,12,0,5,30
Airline A,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,25h,1,No info,10624,5,9,17,0,18,0,25,0
Airline C,2019-05-15,Delhi,Cochin,DEL → BOM → COK,9h 15m,1,No info,8372,15,5,10,0,19,15,9,15
Airline A,2019-01-04,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,4544,4,1,17,45,20,45,3,0
Airline A,2019-06-27,Banglore,Delhi,BLR → DEL,2h 45m,0,In-flight meal not included,6478,27,6,6,0,8,45,2,45
Airline D,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15h 15m,1,No info,15147,3,3,10,20,1,35,15,15
Airline A,2019-03-21,Delhi,Cochin,DEL → BOM → COK,6h 25m,1,No info,12242,21,3,22,0,4,25,6,25
Airline D,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10h 15m,1,No info,11789,27,6,8,45,19,0,10,15
Airline C,2019-09-06,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,6961,6,9,6,10,8,55,2,45
Airline B,2019-03-15,Mumbai,Hyderabad,BOM → HYD,1h 25m,0,No info,2754,15,3,19,5,20,30,1,25
Airline B,2019-03-03,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,7295,3,3,19,35,21,55,2,20
Airline C,2019-03-06,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,38h,3,No info,10493,6,3,5,15,19,15,38,0
Airline A,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,25h 45m,1,In-flight meal not included,10844,18,5,16,30,18,15,25,45
Airline D,2019-05-18,Delhi,Cochin,DEL → BOM → COK,10h 15m,1,No info,14533,18,5,9,0,19,15,10,15
Airline A,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,19h,1,In-flight meal not included,7832,21,3,5,45,0,45,19,0
Airline F,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,27h 20m,1,No info,8610,15,5,17,0,20,20,27,20
Airline C,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,16h 20m,2,No info,13576,3,1,5,50,22,10,16,20
Airline A,2019-05-24,Banglore,Delhi,BLR → DEL,3h,0,No info,7229,24,5,17,45,20,45,3,0
Airline E,2019-03-06,Banglore,Delhi,BLR → DEL,2h 55m,0,No check-in baggage included,3257,6,3,21,10,0,5,2,55
Airline E,2019-09-05,Kolkata,Banglore,CCU → PNQ → BLR,8h 40m,1,No info,6171,5,9,8,35,17,15,8,40
Airline D,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11h,1,No info,7888,21,5,10,0,21,0,11,0
Airline A,2019-05-27,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,4030,27,5,7,10,10,10,3,0
Airline A,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23h 50m,2,No info,12819,27,6,19,10,19,0,23,50
Airline D,2019-06-15,Delhi,Cochin,DEL → HYD → COK,15h 20m,1,In-flight meal not included,6093,15,6,7,10,22,30,15,20
Airline B,2019-09-06,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,2754,6,9,12,0,13,30,1,30
Airline A,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,29h 20m,2,In-flight meal not included,11150,27,6,23,5,4,25,29,20
Airline B,2019-05-27,Banglore,Delhi,BLR → DEL,3h,0,No info,4823,27,5,16,55,19,55,3,0
Airline A,2019-12-06,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,In-flight meal not included,4995,6,12,10,20,11,50,1,30
Airline E,2019-03-04,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,1759,4,3,22,45,0,15,1,30
Airline A,2019-09-03,Delhi,Cochin,DEL → BHO → BOM → COK,22h 45m,2,In-flight meal not included,13764,3,9,5,40,4,25,22,45
Airline B,2019-05-15,Kolkata,Banglore,CCU → BBI → BLR,5h 30m,1,No info,4864,15,5,7,10,12,40,5,30
Airline G,2019-06-21,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,3807,21,6,10,20,12,55,2,35
Airline C,2019-01-06,Delhi,Cochin,DEL → AMD → BOM → COK,23h 30m,2,No info,10651,6,1,19,45,19,15,23,30
Airline C,2019-05-21,Kolkata,Banglore,CCU → DEL → COK → BLR,15h 20m,2,No info,13033,21,5,10,0,1,20,15,20
Airline H,2019-04-24,Delhi,Cochin,DEL → BOM → COK,9h,1,No info,5430,24,4,10,35,19,35,9,0
Airline C,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,22h 25m,2,No info,12219,4,1,7,0,5,25,22,25
Airline D,2019-01-06,Delhi,Cochin,DEL → HYD → COK,12h 45m,1,No info,9646,6,1,9,45,22,30,12,45
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,23h 35m,1,In-flight meal not included,10262,6,1,13,0,12,35,23,35
Airline B,2019-09-03,Delhi,Cochin,DEL → BOM → COK,10h 35m,1,No info,13611,3,9,15,0,1,35,10,35
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,9h 15m,1,No info,16108,15,6,10,0,19,15,9,15
Airline A,2019-03-21,Delhi,Cochin,DEL → BOM → COK,16h 35m,1,No info,12719,21,3,2,15,18,50,16,35
Airline C,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,8h 20m,2,No info,11753,27,6,10,55,19,15,8,20
Airline A,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,18h 20m,1,No info,13817,3,12,18,55,13,15,18,20
Airline G,2019-09-05,Delhi,Cochin,DEL → BLR → COK,5h 30m,1,No info,6751,5,9,7,55,13,25,5,30
Airline E,2019-01-05,Kolkata,Banglore,CCU → BLR,2h 30m,0,No check-in baggage included,3841,5,1,17,10,19,40,2,30
Airline B,2019-06-15,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,3175,15,6,16,55,18,25,1,30
Airline A,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,14h 5m,1,No info,13584,5,9,20,0,10,5,14,5
Airline B,2019-12-03,Mumbai,Hyderabad,BOM → HYD,1h 25m,0,No info,4049,3,12,6,20,7,45,1,25
Airline A,2019-06-24,Delhi,Cochin,DEL → LKO → BOM → COK,16h 40m,2,No info,13357,24,6,11,45,4,25,16,40
Airline A,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,13h 20m,1,No info,14781,5,1,6,30,19,50,13,20
Airline B,2019-04-24,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,24,4,15,30,18,5,2,35
Airline C,2019-03-06,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,6961,6,3,10,0,12,45,2,45
Airline F,2019-12-04,Banglore,Delhi,BLR → DEL,2h 50m,0,No info,5403,4,12,9,45,12,35,2,50
Airline A,2019-06-15,Banglore,Delhi,BLR → DEL,2h 55m,0,In-flight meal not included,7229,15,6,11,10,14,5,2,55
Airline B,2019-03-15,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4778,15,3,14,20,16,55,2,35
Airline A,2019-09-03,Delhi,Cochin,DEL → BOM → COK,8h 40m,1,In-flight meal not included,11848,3,9,19,45,4,25,8,40
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11h 5m,1,No info,12537,27,3,9,55,21,0,11,5
Airline A,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,9h 45m,1,No info,14178,6,9,18,55,4,40,9,45
Airline B,2019-03-05,Kolkata,Banglore,CCU → BLR,2h 35m,0,No info,4804,5,3,15,30,18,5,2,35
Airline F,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,21h 30m,1,No info,12395,3,6,11,55,9,25,21,30
Airline E,2019-09-05,Delhi,Cochin,DEL → BLR → COK,4h 55m,1,No info,5975,5,9,17,55,22,50,4,55
Airline A,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,27h 35m,1,In-flight meal not included,7064,4,1,8,25,12,0,27,35
Airline A,2019-06-21,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,In-flight meal not included,4995,21,6,8,45,10,15,1,30
Airline A,2019-03-27,Delhi,Cochin,DEL → BOM → COK,15h 25m,1,In-flight meal not included,6960,27,3,13,0,4,25,15,25
Airline F,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,25h 50m,1,No info,9345,21,5,17,0,18,50,25,50
Airline D,2019-03-21,Delhi,Cochin,DEL → BOM → COK,7h 35m,1,No info,7363,21,3,18,0,1,35,7,35
Airline B,2019-05-24,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,4392,24,5,12,0,13,30,1,30
Airline D,2019-03-21,Delhi,Cochin,DEL → HYD → COK,9h 5m,1,No info,6717,21,3,7,5,16,10,9,5
Airline B,2019-06-04,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,4423,4,6,6,5,8,50,2,45
Airline A,2019-12-05,Banglore,Delhi,BLR → DEL,3h,0,No info,7229,5,12,8,20,11,20,3,0
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,14h 5m,1,No info,14388,5,6,20,0,10,5,14,5
Airline A,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,13h 20m,1,No info,13817,3,12,18,55,8,15,13,20
Airline D,2019-05-27,Delhi,Cochin,DEL → BOM → COK,13h 15m,1,No info,10786,27,5,6,0,19,15,13,15
Airline C,2019-06-15,Delhi,Cochin,DEL → CCU → BOM → COK,23h,2,No info,13591,15,6,20,15,19,15,23,0
Airline B,2019-01-05,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,3597,5,1,13,15,15,35,2,20
Airline A,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,8h 40m,1,In-flight meal not included,9663,5,6,20,0,4,40,8,40
Airline A,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,5h 25m,1,No info,22270,3,6,7,0,12,25,5,25
Airline D,2019-06-15,Delhi,Cochin,DEL → BOM → COK,12h,1,No info,12192,15,6,7,0,19,0,12,0
Airline F,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,25h 55m,1,No info,9397,6,9,7,10,9,5,25,55
Airline C,2019-06-06,Kolkata,Banglore,CCU → BOM → GOI → BLR,12h 45m,2,No info,11432,6,6,16,50,5,35,12,45
Airline C,2019-06-06,Delhi,Cochin,DEL → MAA → COK,12h 45m,1,No info,7952,6,6,20,40,9,25,12,45
Airline E,2019-09-04,Kolkata,Banglore,CCU → BLR,2h 20m,0,No info,3873,4,9,22,20,0,40,2,20
Airline E,2019-03-24,Banglore,New Delhi,BLR → DEL,2h 50m,0,No check-in baggage included,4273,24,3,5,45,8,35,2,50
Airline C,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,24h 50m,1,No info,11528,3,1,10,30,11,20,24,50
Airline A,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,7h 5m,2,No info,16274,21,5,5,30,12,35,7,5
Airline A,2019-04-27,Banglore,Delhi,BLR → DEL,3h,0,In-flight meal not included,4544,27,4,17,45,20,45,3,0
Airline B,2019-05-18,Delhi,Cochin,DEL → HYD → COK,7h 5m,1,No info,7520,18,5,5,5,12,10,7,5
Airline C,2019-09-06,Delhi,Cochin,DEL → GOI → BOM → COK,8h 20m,2,No info,12383,6,9,10,55,19,15,8,20
Airline E,2019-05-15,Kolkata,Banglore,CCU → BLR,2h 35m,0,No check-in baggage included,3841,15,5,6,55,9,30,2,35
Airline G,2019-05-21,Kolkata,Banglore,CCU → BLR,2h 30m,0,No info,4107,21,5,19,55,22,25,2,30
Airline A,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14h 20m,1,No info,27992,3,1,7,0,21,20,14,20
Airline E,2019-09-06,Chennai,Kolkata,MAA → CCU,2h 20m,0,No info,3597,6,9,17,45,20,5,2,20
Airline D,2019-03-27,Delhi,Cochin,DEL → BOM → COK,7h 20m,1,No info,12327,27,3,18,15,1,35,7,20
Airline C,2019-09-06,Delhi,Cochin,DEL → BOM → COK,23h 15m,1,No info,8372,6,9,20,0,19,15,23,15
Airline G,2019-03-21,Kolkata,Banglore,CCU → BLR,2h 30m,0,No info,3782,21,3,22,50,1,20,2,30
Airline H,2019-04-15,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,3898,15,4,20,55,23,40,2,45
Airline D,2019-05-15,Delhi,Cochin,DEL → BOM → COK,8h,1,No info,13727,15,5,13,0,21,0,8,0
Airline D,2019-03-21,Delhi,Cochin,DEL → BOM → COK,9h 40m,1,No info,13069,21,3,9,10,18,50,9,40
Airline D,2019-01-06,Delhi,Cochin,DEL → BOM → COK,10h 30m,1,No info,13377,6,1,15,0,1,30,10,30
Airline D,2019-03-06,Delhi,Cochin,DEL → BOM → COK,7h 45m,1,No info,14848,6,3,11,30,19,15,7,45
Airline A,2019-03-27,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,In-flight meal not included,2071,27,3,19,35,21,5,1,30
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,23h 45m,1,In-flight meal not included,10262,6,1,19,15,19,0,23,45
Airline A,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,11h 50m,1,No info,13817,3,12,22,55,10,45,11,50
Airline A,2019-01-06,Delhi,Cochin,DEL → BOM → COK,19h 25m,1,In-flight meal not included,10262,6,1,9,0,4,25,19,25
Airline B,2019-04-21,Banglore,Delhi,BLR → DEL,2h 45m,0,No info,4591,21,4,1,30,4,15,2,45
Airline A,2019-03-27,Delhi,Cochin,DEL → BOM → COK,10h 55m,1,No info,12242,27,3,17,30,4,25,10,55
Airline B,2019-06-21,Kolkata,Banglore,CCU → BLR,2h 40m,0,No info,4804,21,6,21,25,0,5,2,40
Airline B,2019-03-21,Delhi,Cochin,DEL → BOM → COK,14h 50m,1,No info,7318,21,3,10,45,1,35,14,50
Airline B,2019-09-06,Kolkata,Banglore,CCU → BLR,2h 45m,0,No info,4804,6,9,9,35,12,20,2,45
Airline C,2019-09-05,Delhi,Cochin,DEL → JAI → BOM → COK,24h 30m,2,No info,11942,5,9,18,45,19,15,24,30
Airline A,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,8h 15m,1,No info,12284,18,3,7,0,15,15,8,15
Airline A,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,13h 30m,2,No info,15129,18,5,23,5,12,35,13,30
Airline A,2019-03-24,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,5678,24,3,10,20,11,50,1,30
Airline B,2019-03-24,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,No info,2754,24,3,2,30,4,0,1,30
Airline A,2019-09-04,Delhi,Cochin,DEL → AMD → BOM → COK,23h 10m,2,No info,9483,4,9,13,25,12,35,23,10
Airline A,2019-06-15,Banglore,Delhi,BLR → DEL,3h 5m,0,No info,8016,15,6,18,55,22,0,3,5
Airline F,2019-06-24,Delhi,Cochin,DEL → COK,3h 10m,0,No info,6216,24,6,6,0,9,10,3,10
Airline B,2019-05-27,Delhi,Cochin,DEL → BOM → COK,5h 5m,1,No info,5054,27,5,20,25,1,30,5,5
Airline D,2019-03-21,Delhi,Cochin,DEL → BOM → COK,14h 5m,1,No info,11098,21,3,4,45,18,50,14,5
Airline A,2019-06-04,Banglore,Delhi,BLR → DEL,3h,0,No info,7229,4,6,8,20,11,20,3,0
Airline A,2019-05-21,Mumbai,Hyderabad,BOM → HYD,1h 30m,0,In-flight meal not included,4995,21,5,10,20,11,50,1,30
Airline A,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,25h 20m,1,No info,14151,6,9,9,35,10,55,25,20
Airline F,2019-03-15,Banglore,New Delhi,BLR → AMD → DEL,27h 45m,1,No info,6590,15,3,6,40,10,25,27,45
